,pol_lat,pol_lon,Cluster
580,39.08461133,-77.1998475,0
580,39.10304667,-77.19017667,0
580,39.120055,-77.18045216,0
580,39.05254167,-77.11778,1
580,39.09497833,-77.20223833,0
580,39.09034667,-77.20285333,0
580,39.09438,-77.19761167,0
580,39.10343588,-77.20615907,0
580,39.10107333,-77.1899,0
580,39.08495333,-77.22485,0
580,39.09362333,-77.19721667,0
580,39.09563667,-77.20069333000001,0
580,39.085005,-77.078335,1
580,39.09659575,-77.20755816,0
580,39.09668734,-77.20342755,0
580,39.09546833,-77.19557917,0
580,39.085325,-77.201325,0
580,39.08668333,-77.20444333,0
580,39.13618535,-77.18873978,0
580,39.10370833,-77.19123333,0
580,39.09704667,-77.19195667,0
580,39.29901167,-77.20146333,0
580,39.075385,-77.13701,1
580,39.13578591,-77.24916458,0
580,39.169055,-77.399345,0
580,39.09812167,-77.20940167,0
597,39.10865,-77.21790833,0
597,39.10832017,-77.21834133,0
597,39.1400079,-77.19559903,0
597,39.15904833,-77.217155,0
598,39.18413667,-77.24065833,0
598,39.18413667,-77.24065833,0
598,39.17303833,-77.23748833,0
598,39.18940667,-77.26150833,0
598,39.19793617,-77.25427151,0
598,39.176764,-77.24448917,0
598,39.17647033,-77.24503267,0
598,39.17827167,-77.23955833,0
598,39.17799305,-77.24060511,0
598,39.17149333,-77.24141167,0
598,39.19085891,-77.2478158,0
598,39.19111333,-77.24807333,0
598,39.17452333,-77.24814833,0
598,39.178135,-77.24002667,0
598,39.17879667,-77.26688167,0
598,39.19094833,-77.24792667,0
598,39.18115667,-77.24476,0
598,39.19086333,-77.24795667,0
598,39.19094645,-77.24790931,0
598,39.19086833,-77.24780333,0
598,39.19080667,-77.24775667,0
598,39.19312167,-77.24900833,0
598,39.19142667,-77.24806833,0
598,39.18982167,-77.24738833,0
598,39.19144,-77.24690833,0
598,39.18407,-77.263435,0
598,39.11810833,-77.32095333,0
598,39.17611182,-77.24569688,0
598,39.18868667,-77.24892167,0
598,39.19161,-77.24826667,0
598,39.19102083,-77.247995,0
598,39.187485,-77.24851833,0
598,39.17673333,-77.24477833,0
598,39.176995,-77.244345,0
598,39.18151853,-77.23725963,0
598,39.18432833,-77.26345833,0
599,39.18038167,-77.238455,0
599,39.15609696,-77.21644009,0
599,39.15940227,-77.21025855,0
599,39.15638833,-77.21535667,0
599,39.167925,-77.20516333,0
599,39.16144578,-77.20209489,0
600,39.05144243,-77.1063222,1
600,39.04799333,-77.10178167,1
600,39.04485667,-77.10958667,1
600,38.99794833,-77.09699333,1
600,39.1950525,-77.27109017,0
600,39.06065333,-77.11069167,1
600,39.05672564,-77.10920691,1
600,39.05716468,-77.1083868,1
600,39.08181,-77.079805,1
600,38.953,-77.338,0
600,39.08333,-77.15286667,1
600,39.18523167,-77.24490833,0
600,39.06298617,-77.11664917,1
600,39.05829605,-77.11057752,1
600,39.107985,-77.15250167,0
600,39.06086983,-77.12587233,1
600,39.07997592,-77.13826298,1
600,39.07459618,-77.13153707,1
600,39.067256,-77.066395,1
600,39.06065817,-77.11228583,1
600,39.060365,-77.111555,1
600,39.05691726,-77.10968971,1
600,39.06889333,-77.14694167,1
600,39.06278333,-77.11535667,1
600,39.12531624,-77.15288401,0
600,39.05355448,-77.10676484,1
600,39.07256333,-77.11277167,1
600,39.09078167,-77.11425,1
600,39.06082967,-77.12585941,1
600,39.05697189,-77.11722257,1
600,39.0711,-77.11373,1
600,39.126325,-77.24033333,0
600,39.08049333,-77.14919833,1
600,38.67069811,-76.70515467,2
600,39.070175,-77.11400333,1
601,39.11373333,-77.23449833,0
601,39.02215311,-77.20666605,0
601,39.06347167,-77.17607833,0
601,39.064535,-77.175495,0
601,39.04573,-77.160765,1
601,39.04559,-77.18063,1
601,39.11367167,-77.234595,0
601,39.01918833,-77.20744833,0
601,39.03669667,-77.152205,1
601,39.14828421,-77.06653833,1
601,39.04006511,-77.15912631,1
601,39.174922,-77.172367,0
601,39.24063,-77.18319167,0
601,39.04306333,-77.15581333,1
601,39.02718767,-77.16183067,1
601,39.06088574,-77.15719734,1
601,39.061606,-77.16183,1
601,38.994555,-77.10861333,1
602,38.99748333,-77.10978283,1
602,38.9908905,-77.096626,1
602,38.97017,-77.112715,1
602,38.99508,-77.166045,1
602,38.99064333,-77.097625,1
602,39.04905221,-77.08557129,1
602,39.01205917,-77.1558375,1
602,39.002715,-77.13236333,1
602,39.03035668,-77.12495187,1
602,39.0104912,-77.15386301,1
602,39.020045,-77.16147,1
602,39.10503667,-76.95031333,2
602,39.000115,-77.17632,1
602,39.02681333,-77.20355333,0
602,39.023235,-77.15718333,1
602,39.011965,-77.15579833,1
603,38.99102333,-77.09741333,1
603,39.01430833,-77.14939833,1
603,39.02164525,-77.14292,1
603,39.02370667,-77.14242833,1
603,39.02353167,-77.14014667,1
603,39.104985,-76.95033833,2
